rank,city,state,population,2000-2013 growth
688,Sarasota,Florida,53326,1.4%
689,Blue Springs,Missouri,53294,9.9%
690,Colton,California,53243,10.8%
691,Euless,Texas,53224,15.1%
692,Castle Rock,Colorado,53063,153.5%
693,Cathedral City,California,52977,23.2%
694,Kingsport,Tennessee,52962,16.7%
695,Lake Havasu City,Arizona,52844,24.6%
696,Pensacola,Florida,52703,-6.0%
697,Hoboken,New Jersey,52575,35.8%
698,Yucaipa,California,52536,26.8%
699,Watsonville,California,52477,12.7%
700,Richland,Washington,52413,34.6%
701,Delano,California,52403,31.8%
702,Hoffman Estates,Illinois,52398,5.4%
703,Florissant,Missouri,52363,-2.8%
704,Placentia,California,52206,11.8%
705,West New York,New Jersey,52122,13.3%
706,Dublin,California,52105,70.0%
707,Oak Park,Illinois,52066,-0.8%
708,Peabody,Massachusetts,52044,7.5%
709,Perth Amboy,New Jersey,51982,9.7%
710,Battle Creek,Michigan,51848,-2.8%
711,Bradenton,Florida,51763,3.4%
712,Gilroy,California,51701,23.9%
713,Milford,Connecticut,51644,1.8%
714,Albany,Oregon,51583,25.5%
715,Ankeny,Iowa,51567,86.9%
716,La Crosse,Wisconsin,51522,-0.8%
717,Burlington,North Carolina,51510,12.1%
718,DeSoto,Texas,51483,36.0%
719,Harrisonburg,Virginia,51395,27.1%
720,Minnetonka,Minnesota,51368,0.4%
721,Elkhart,Indiana,51265,-2.5%
722,Lakewood,Ohio,51143,-9.4%
723,Glendora,California,51074,3.1%
724,Southaven,Mississippi,50997,72.8%
725,Charleston,West Virginia,50821,-4.7%
726,Joplin,Missouri,50789,11.2%
727,Enid,Oklahoma,50725,8.1%
728,Palm Beach Gardens,Florida,50699,39.6%
729,Brookhaven,Georgia,50603,
730,Plainfield,New Jersey,50588,5.7%
731,Grand Island,Nebraska,50550,16.0%
732,Palm Desert,California,50508,13.2%
733,Huntersville,North Carolina,50458,92.9%
734,Tigard,Oregon,50444,17.8%
735,Lenexa,Kansas,50344,24.6%
736,Saginaw,Michigan,50303,-18.2%
737,Kentwood,Michigan,50233,10.5%
738,Doral,Florida,50213,137.6%
739,Apple Valley,Minnesota,50201,9.2%
740,Grapevine,Texas,50195,17.6%
741,Aliso Viejo,California,50175,25.4%
742,Sammamish,Washington,50169,44.1%
743,Casa Grande,Arizona,50111,86.0%
